,Dispositivo,Valor,Cultivo
11,E2_00007,0.8292682926829269,maiz
4,E2_00004,0.7727272727272727,maiz
2,E2_00006,0.7468354430379747,maiz
8,E2_00005,0.5,maiz
17,E2_00011,0.4230769230769231,maiz
3,E2_00008,0.4084507042253521,maiz
12,E1_0003,0.35,maiz
14,E1_0002,0.3181818181818182,maiz
9,E2_00013,0.3148148148148148,maiz
19,E2_00015,0.1818181818181818,maiz
18,E2_00014,0.1666666666666666,maiz
16,E1_0001,0.1538461538461538,maiz
6,E2_00017,0.1428571428571428,maiz
1,E2_00020,0.0833333333333333,maiz
5,E2_00012,0.0775862068965517,maiz
13,E2_00016,0.0625,maiz
15,E2_00019,0.0357142857142857,maiz
7,E2_00009,0.005050505050505,maiz
10,E2_00010,0.0,maiz
8,E2_00005,0.9883720930232558,soja
3,E2_00008,0.9190140845070424,soja
14,E1_0002,0.9090909090909092,soja
17,E2_00011,0.8846153846153846,soja
9,E2_00013,0.8148148148148149,soja
19,E2_00015,0.7727272727272727,soja
2,E2_00006,0.7341772151898734,soja
12,E1_0003,0.7,soja
18,E2_00014,0.6666666666666666,soja
16,E1_0001,0.6538461538461539,soja
4,E2_00004,0.6212121212121212,soja
5,E2_00012,0.5775862068965517,soja
13,E2_00016,0.5625,soja
15,E2_00019,0.5357142857142857,soja
10,E2_00010,0.5,soja
11,E2_00007,0.5,soja
6,E2_00017,0.4571428571428571,soja
1,E2_00020,0.25,soja
7,E2_00009,0.0,soja
1,E2_00020,0.3333333333333333,arveja
6,E2_00017,0.2857142857142857,arveja
11,E2_00007,0.1219512195121951,arveja
4,E2_00004,0.1212121212121212,arveja
2,E2_00006,0.050632911392405,arveja
13,E2_00016,0.0,arveja
18,E2_00014,0.0,arveja
17,E2_00011,0.0,arveja
16,E1_0001,0.0,arveja
15,E2_00019,0.0,arveja
14,E1_0002,0.0,arveja
10,E2_00010,0.0,arveja
12,E1_0003,0.0,arveja
9,E2_00013,0.0,arveja
8,E2_00005,0.0,arveja
7,E2_00009,0.0,arveja
5,E2_00012,0.0,arveja
3,E2_00008,0.0,arveja
19,E2_00015,0.0,arveja
10,E2_00010,0.9855072463768116,berenjena
15,E2_00019,0.8809523809523809,berenjena
5,E2_00012,0.8333333333333334,berenjena
13,E2_00016,0.8333333333333334,berenjena
9,E2_00013,0.7530864197530863,berenjena
16,E1_0001,0.7435897435897436,berenjena
18,E2_00014,0.7222222222222222,berenjena
1,E2_00020,0.7129629629629629,berenjena
3,E2_00008,0.6901408450704225,berenjena
17,E2_00011,0.6794871794871794,berenjena
8,E2_00005,0.6666666666666666,berenjena
14,E1_0002,0.6666666666666666,berenjena
19,E2_00015,0.6666666666666666,berenjena
2,E2_00006,0.6540084388185653,berenjena
6,E2_00017,0.6285714285714287,berenjena
4,E2_00004,0.5555555555555555,berenjena
11,E2_00007,0.5284552845528455,berenjena
12,E1_0003,0.4666666666666666,berenjena
7,E2_00009,0.0067340067340067,berenjena
8,E2_00005,0.9069767441860463,cebollacabezona
11,E2_00007,0.8536585365853658,cebollacabezona
2,E2_00006,0.8481012658227848,cebollacabezona
4,E2_00004,0.8181818181818182,cebollacabezona
3,E2_00008,0.5492957746478874,cebollacabezona
1,E2_00020,0.5,cebollacabezona
9,E2_00013,0.4074074074074074,cebollacabezona
17,E2_00011,0.3846153846153846,cebollacabezona
15,E2_00019,0.3571428571428571,cebollacabezona
5,E2_00012,0.3275862068965517,cebollacabezona
6,E2_00017,0.2857142857142857,cebollacabezona
19,E2_00015,0.2727272727272727,cebollacabezona
13,E2_00016,0.25,cebollacabezona
10,E2_00010,0.217391304347826,cebollacabezona
18,E2_00014,0.1666666666666666,cebollacabezona
16,E1_0001,0.0769230769230769,cebollacabezona
7,E2_00009,0.0101010101010101,cebollacabezona
14,E1_0002,0.0,cebollacabezona
12,E1_0003,0.0,cebollacabezona
11,E2_00007,0.902439024390244,cebollajunca
4,E2_00004,0.6666666666666666,cebollajunca
1,E2_00020,0.5,cebollajunca
2,E2_00006,0.4556962025316455,cebollajunca
6,E2_00017,0.4285714285714285,cebollajunca
12,E1_0003,0.05,cebollajunca
17,E2_00011,0.0384615384615384,cebollajunca
7,E2_00009,0.0101010101010101,cebollajunca
8,E2_00005,0.0077519379844961,cebollajunca
14,E1_0002,0.0,cebollajunca
18,E2_00014,0.0,cebollajunca
16,E1_0001,0.0,cebollajunca
15,E2_00019,0.0,cebollajunca
10,E2_00010,0.0,cebollajunca
13,E2_00016,0.0,cebollajunca
9,E2_00013,0.0,cebollajunca
5,E2_00012,0.0,cebollajunca
3,E2_00008,0.0,cebollajunca
19,E2_00015,0.0,cebollajunca
11,E2_00007,0.6707317073170731,frijol
4,E2_00004,0.6666666666666667,frijol
1,E2_00020,0.5277777777777778,frijol
18,E2_00014,0.5,frijol
2,E2_00006,0.4556962025316455,frijol
15,E2_00019,0.4464285714285714,frijol
9,E2_00013,0.4444444444444444,frijol
8,E2_00005,0.437984496124031,frijol
3,E2_00008,0.4190140845070422,frijol
6,E2_00017,0.3857142857142857,frijol
17,E2_00011,0.3846153846153846,frijol
13,E2_00016,0.375,frijol
16,E1_0001,0.3461538461538461,frijol
5,E2_00012,0.2758620689655172,frijol
14,E1_0002,0.2272727272727272,frijol
12,E1_0003,0.225,frijol
10,E2_00010,0.217391304347826,frijol
7,E2_00009,0.005050505050505,frijol
19,E2_00015,0.0,frijol
8,E2_00005,0.3581395348837209,pimenton
2,E2_00006,0.3367088607594937,pimenton
11,E2_00007,0.3268292682926829,pimenton
3,E2_00008,0.3267605633802817,pimenton
4,E2_00004,0.303030303030303,pimenton
17,E2_00011,0.2615384615384615,pimenton
1,E2_00020,0.2444444444444444,pimenton
9,E2_00013,0.2407407407407407,pimenton
18,E2_00014,0.2,pimenton
6,E2_00017,0.1771428571428571,pimenton
15,E2_00019,0.1571428571428571,pimenton
10,E2_00010,0.1304347826086956,pimenton
5,E2_00012,0.1275862068965517,pimenton
19,E2_00015,0.109090909090909,pimenton
13,E2_00016,0.1,pimenton
12,E1_0003,0.1,pimenton
14,E1_0002,0.0545454545454545,pimenton
16,E1_0001,0.0461538461538461,pimenton
7,E2_00009,0.002020202020202,pimenton
8,E2_00005,0.9903100775193798,tomate
3,E2_00008,0.9823943661971832,tomate
9,E2_00013,0.976851851851852,tomate
17,E2_00011,0.9711538461538464,tomate
18,E2_00014,0.9583333333333334,tomate
13,E2_00016,0.9375,tomate
15,E2_00019,0.9196428571428572,tomate
16,E1_0001,0.8846153846153846,tomate
19,E2_00015,0.8636363636363636,tomate
10,E2_00010,0.8478260869565217,tomate
14,E1_0002,0.7954545454545454,tomate
12,E1_0003,0.7749999999999999,tomate
4,E2_00004,0.6060606060606061,tomate
2,E2_00006,0.5822784810126582,tomate
11,E2_00007,0.5670731707317074,tomate
1,E2_00020,0.5625,tomate
6,E2_00017,0.5571428571428572,tomate
5,E2_00012,0.5431034482758621,tomate
7,E2_00009,0.005050505050505,tomate
4,E2_00004,0.7878787878787878,zanahoria
11,E2_00007,0.7804878048780488,zanahoria
2,E2_00006,0.5569620253164558,zanahoria
8,E2_00005,0.4263565891472868,zanahoria
12,E1_0003,0.325,zanahoria
3,E2_00008,0.3204225352112676,zanahoria
17,E2_00011,0.3076923076923076,zanahoria
9,E2_00013,0.2685185185185185,zanahoria
1,E2_00020,0.25,zanahoria
6,E2_00017,0.2428571428571428,zanahoria
14,E1_0002,0.1818181818181818,zanahoria
18,E2_00014,0.1666666666666666,zanahoria
16,E1_0001,0.1153846153846153,zanahoria
5,E2_00012,0.0775862068965517,zanahoria
13,E2_00016,0.0625,zanahoria
15,E2_00019,0.0357142857142857,zanahoria
7,E2_00009,0.005050505050505,zanahoria
10,E2_00010,0.0,zanahoria
19,E2_00015,0.0,zanahoria
11,E2_00007,0.951219512195122,judiaverde
4,E2_00004,0.9393939393939394,judiaverde
2,E2_00006,0.8227848101265823,judiaverde
1,E2_00020,0.5277777777777778,judiaverde
6,E2_00017,0.4285714285714285,judiaverde
17,E2_00011,0.0384615384615384,judiaverde
8,E2_00005,0.0310077519379844,judiaverde
7,E2_00009,0.0101010101010101,judiaverde
3,E2_00008,0.0070422535211267,judiaverde
14,E1_0002,0.0,judiaverde
18,E2_00014,0.0,judiaverde
16,E1_0001,0.0,judiaverde
15,E2_00019,0.0,judiaverde
10,E2_00010,0.0,judiaverde
13,E2_00016,0.0,judiaverde
12,E1_0003,0.0,judiaverde
9,E2_00013,0.0,judiaverde
5,E2_00012,0.0,judiaverde
19,E2_00015,0.0,judiaverde
