,Nombre,tiempo.germinacion.optimo,Kilogramo.hectarea,Peso.hectarea
0,maiz,"[7,14]",18000,36000000
1,arroz,"[2,3]",11000,38500000
2,tomate,"[5,0]",77000,269500000
3,soja,[3.5],4500,15750000
4,cebollajunca,[7],25258,15154800
5,cebollacabezona,"[7,15]",56816,181811200
6,ajo,[15],7500,45750000
7,pimenton,"[8,20]",4000,6000000
8,melon,"[5,10]",32500,91000000
9,frijol,"[3,8]",1800,7020000
10,arveja,[7],3250,20800000
11,zanahoria,[15],57500,189750000
12,berenjena,[10],32500,52000000
13,calabacin,"[3,4]",24984,14990400
14,judiaverde,"[5,7]",18657,0
15,sandia,"[7,10]",56963,85444500
16,pepino,"[4,7]",28470,21352500
